EntrezID;EnsemblID;LogFC
51142;ENSG00000106153;-7.592197141
50805;ENSG00000113430;-7.311519976
7620;ENSG00000198429;-6.903030085
91392;ENSG00000196653;-6.700565417
100131138;ENSG00000185847;-6.405225784
84527;ENSG00000188321;-6.355935259
11274;ENSG00000184979;-6.336239988
440556;ENSG00000177133;-5.910540395
100131827;ENSG00000227124;-5.606630581
389432;ENSG00000203727;-5.230269255
113146;ENSG00000185567;-5.095059877
126068;ENSG00000197044;-4.966130755
63976;ENSG00000142611;-4.865992339
29797;ENSG00000229266;-4.639998575
101928200;ENSG00000256508;-4.470747041
1812;ENSG00000184845;-4.425061915
340990;ENSG00000188162;-4.403375839
120892;ENSG00000188906;-4.317206274
149837;ENSG00000205181;-4.28507109
160777;ENSG00000183273;-4.168128766
23493;ENSG00000135547;-4.152862583
4613;ENSG00000134323;-4.127427494
146429;ENSG00000259803;-4.026147454
2679;ENSG00000197421;-4.021863433
55026;ENSG00000125355;-3.939151105
7412;ENSG00000162692;-3.934469384
153571;ENSG00000186493;-3.898019954
8538;ENSG00000043039;-3.83318853
7472;ENSG00000105989;-3.714968815
25849;ENSG00000169116;-3.639851592
345557;ENSG00000182836;-3.635504245
645367;ENSG00000236969;-3.55270658
94121;ENSG00000102362;-3.5121362
644943;ENSG00000189431;-3.453850171
56911;ENSG00000156265;-3.415173243
3910;ENSG00000112769;-3.344762103
147495;ENSG00000154856;-3.343600914
6331;ENSG00000183873;-3.301783691
153572;ENSG00000170561;-3.288848086
2702;ENSG00000265107;-3.219624507
116535;ENSG00000172935;-3.178222273
79192;ENSG00000170549;-3.170618005
646074;ENSG00000224124;-3.009358323
26220;ENSG00000273032;-2.921694263
6523;ENSG00000100170;-2.921413752
55971;ENSG00000006453;-2.863885778
90627;ENSG00000133121;-2.83397249
642633;ENSG00000215498;-2.770709393
84894;ENSG00000169783;-2.718475253
2274;ENSG00000115641;-2.688199262
28959;ENSG00000106565;-2.666822425
10396;ENSG00000124406;-2.650524286
89796;ENSG00000134369;-2.650064638
489;ENSG00000074370;-2.622436278
4916;ENSG00000140538;-2.588591361
4633;ENSG00000111245;-2.574432955
3739;ENSG00000182255;-2.54891556
54756;ENSG00000144730;-2.546887451
57480;ENSG00000120278;-2.546490994
112609;ENSG00000135324;-2.510359042
2687;ENSG00000099998;-2.43350714
22986;ENSG00000156395;-2.428728338
101928656;ENSG00000251504;-2.424390566
219537;ENSG00000214872;-2.422020731
147841;ENSG00000161888;-2.417253575
23316;ENSG00000111249;-2.405144006
4128;ENSG00000189221;-2.393466664
54959;ENSG00000109205;-2.381469658
1740;ENSG00000150672;-2.345082734
375057;ENSG00000203685;-2.340395832
5521;ENSG00000156475;-2.329401313
253044;ENSG00000259666;-2.325940377
6875;ENSG00000141384;-2.304242685
284312;ENSG00000152467;-2.2889758
55365;ENSG00000002933;-2.26459863
81610;ENSG00000101447;-2.260949013
100874107;ENSG00000179141;-2.257619134
1040;ENSG00000163624;-2.257385606
7691;ENSG00000131849;-2.256262984
10699;ENSG00000145244;-2.255520874
57699;ENSG00000124772;-2.230243393
27035;ENSG00000007952;-2.228065802
79180;ENSG00000142634;-2.214527543
728978;ENSG00000237512;-2.213816364
960;ENSG00000026508;-2.204773812
60680;ENSG00000161082;-2.203581086
9787;ENSG00000126787;-2.186361971
148534;ENSG00000152078;-2.175079468
332;ENSG00000089685;-2.168621214
7049;ENSG00000069702;-2.160846156
84530;ENSG00000139767;-2.14414982
9928;ENSG00000118193;-2.141404806
4288;ENSG00000148773;-2.135996262
55165;ENSG00000138180;-2.121833975
100131244;ENSG00000230778;-2.114906429
863;ENSG00000129993;-2.111896807
116969;ENSG00000167311;-2.095268117
100130476;ENSG00000237499;-2.088655394
10821;ENSG00000189398;-2.088653716
80757;ENSG00000184986;-2.072532033
81029;ENSG00000111186;-2.034012347
79875;ENSG00000187720;-2.027713325
254122;ENSG00000172803;-2.027354469
650368;ENSG00000223756;-2.027121267
9034;ENSG00000121797;-2.023100788
6457;ENSG00000140600;-2.0175576
376132;ENSG00000198812;-2.01592469
80119;ENSG00000140451;-2.008109773
55635;ENSG00000024526;-1.992741126
114822;ENSG00000158106;-1.976009124
9768;ENSG00000166803;-1.975765548
10112;ENSG00000112984;-1.973762813
259266;ENSG00000066279;-1.969065209
91768;ENSG00000134508;-1.968540917
10024;ENSG00000135451;-1.964534167
9212;ENSG00000178999;-1.953776711
4751;ENSG00000117650;-1.946659098
138046;ENSG00000184672;-1.941802485
23566;ENSG00000171517;-1.940510933
146909;ENSG00000186185;-1.936406856
100507032;ENSG00000271270;-1.933035792
9232;ENSG00000164611;-1.930065194
65078;ENSG00000040608;-1.928927596
28965;ENSG00000113396;-1.928169642
8817;ENSG00000156427;-1.927401131
283431;ENSG00000139354;-1.919994194
4878;ENSG00000175206;-1.919585687
5625;ENSG00000100033;-1.900285511
10403;ENSG00000080986;-1.898904716
6533;ENSG00000131389;-1.889268114
387882;ENSG00000235162;-1.871852846
84057;ENSG00000121211;-1.868070694
157313;ENSG00000184661;-1.862892898
55872;ENSG00000168078;-1.85742777
11113;ENSG00000122966;-1.848399817
29091;ENSG00000168952;-1.846138922
4166;ENSG00000183196;-1.845052149
80125;ENSG00000140481;-1.839608014
55771;ENSG00000068489;-1.838121096
29940;ENSG00000111817;-1.836799169
9633;ENSG00000132749;-1.831457072
7222;ENSG00000138741;-1.831251223
8842;ENSG00000007062;-1.826637346
85452;ENSG00000142609;-1.82251301
56915;ENSG00000077348;-1.82080634
7153;ENSG00000131747;-1.804537407
93556;ENSG00000206120;-1.801522353
4306;ENSG00000151623;-1.80051288
3161;ENSG00000072571;-1.797155555
9892;ENSG00000065609;-1.793633924
54478;ENSG00000129195;-1.791901268
991;ENSG00000117399;-1.785270665
54082;ENSG00000235890;-1.784574029
54082;ENSG00000273337;-1.784574029
11004;ENSG00000142945;-1.783658356
10631;ENSG00000133110;-1.781005459
3958;ENSG00000131981;-1.776537388
1058;ENSG00000115163;-1.773250887
55997;ENSG00000136698;-1.763461227
57565;ENSG00000197705;-1.763159799
1396;ENSG00000213145;-1.757525554
3386;ENSG00000105371;-1.753856678
3908;ENSG00000196569;-1.74444762
23397;ENSG00000121152;-1.742738392
7272;ENSG00000112742;-1.742158275
9133;ENSG00000157456;-1.736773871
10974;ENSG00000148671;-1.732822987
154;ENSG00000169252;-1.72601001
100131539;ENSG00000214534;-1.713357076
60676;ENSG00000116183;-1.712412386
53405;ENSG00000112782;-1.70634961
7547;ENSG00000156925;-1.706102569
79746;ENSG00000134463;-1.699738231
5791;ENSG00000132334;-1.698436312
91862;ENSG00000140832;-1.697566576
8214;ENSG00000183628;-1.697201838
64105;ENSG00000123219;-1.696388819
128239;ENSG00000183856;-1.696163113
84630;ENSG00000146216;-1.689087512
1063;ENSG00000117724;-1.684017547
214;ENSG00000170017;-1.673526703
701;ENSG00000156970;-1.671671594
163782;ENSG00000132854;-1.666741185
22983;ENSG00000105613;-1.664271585
284;ENSG00000154188;-1.663787062
55355;ENSG00000123485;-1.656570097
100507661;ENSG00000242268;-1.654715439
55010;ENSG00000185480;-1.652623611
83540;ENSG00000143228;-1.650285314
440503;ENSG00000214456;-1.643847248
1910;ENSG00000136160;-1.640938792
55247;ENSG00000109674;-1.638259888
152;ENSG00000184160;-1.637633849
100861541;ENSG00000260992;-1.635841728
23281;ENSG00000132938;-1.635826603
5336;ENSG00000197943;-1.630365984
64798;ENSG00000155792;-1.624713767
3767;ENSG00000187486;-1.621563713
1062;ENSG00000138778;-1.62144105
10630;ENSG00000162493;-1.621072577
89;ENSG00000248746;-1.620650399
6653;ENSG00000137642;-1.615411203
79628;ENSG00000169247;-1.605339265
118461;ENSG00000177354;-1.604393797
57509;ENSG00000129422;-1.600419299
8654;ENSG00000138735;-1.597230454
8863;ENSG00000049246;-1.593041548
23089;ENSG00000242265;-1.590356222
9980;ENSG00000142197;-1.587420645
995;ENSG00000158402;-1.585499035
30812;ENSG00000005513;-1.579954103
103689846;ENSG00000249421;-1.575802474
90423;ENSG00000250565;-1.574546983
10886;ENSG00000056291;-1.5740508
51512;ENSG00000075218;-1.57267613
642924;ENSG00000246662;-1.570576444
890;ENSG00000145386;-1.567143864
220992;ENSG00000198298;-1.558965558
10076;ENSG00000060656;-1.549203466
2894;ENSG00000182771;-1.544466095
753;ENSG00000168675;-1.540528896
55789;ENSG00000035499;-1.535836316
81620;ENSG00000167513;-1.531277389
221150;ENSG00000165480;-1.531066946
983;ENSG00000170312;-1.529555919
5454;ENSG00000184486;-1.527717263
64151;ENSG00000109805;-1.526967232
205147;ENSG00000178171;-1.524665081
4703;ENSG00000183091;-1.52199419
171019;ENSG00000145808;-1.520755651
23555;ENSG00000099282;-1.520695748
57608;ENSG00000165757;-1.520235308
101927726;ENSG00000261656;-1.502431155
6692;ENSG00000166145;-1.500786319
90134;ENSG00000184611;-1.499407058
220965;ENSG00000148541;-1.494252293
26047;ENSG00000174469;-1.492186961
11065;ENSG00000175063;-1.486965558
5023;ENSG00000108405;-1.486488698
9421;ENSG00000113196;-1.481821097
2013;ENSG00000213853;-1.480774087
5309;ENSG00000107859;-1.476461843
55723;ENSG00000105011;-1.468962747
990;ENSG00000094804;-1.468072186
151473;ENSG00000163053;-1.461554699
144577;ENSG00000174206;-1.459210446
5077;ENSG00000135903;-1.455296113
100505549;ENSG00000267040;-1.454083968
2152;ENSG00000117525;-1.451990035
81543;ENSG00000160233;-1.450289018
135138;ENSG00000112530;-1.44838967
64859;ENSG00000173559;-1.445307932
222663;ENSG00000146197;-1.444748717
5865;ENSG00000169213;-1.44293882
92815;ENSG00000181218;-1.442287046
140738;ENSG00000171227;-1.439979401
150763;ENSG00000186281;-1.439874896
84254;ENSG00000004660;-1.431810575
57537;ENSG00000184985;-1.430600429
147837;ENSG00000188868;-1.427261525
24137;ENSG00000090889;-1.425735241
2177;ENSG00000144554;-1.422807103
10683;ENSG00000090932;-1.421218372
10125;ENSG00000172575;-1.412731347
221692;ENSG00000112137;-1.412154871
100874362;ENSG00000230148;-1.411791557
