EntrezID;EnsemblID;LogFC
58175;ENSMUSG00000002459;-0.68101865
170755;ENSMUSG00000025915;0.6605285
14859;ENSMUSG00000025934;-0.62097335
170771;ENSMUSG00000026058;-0.7574742
13518;ENSMUSG00000026131;0.64395905
12627;ENSMUSG00000026124;2.247382
226970;ENSMUSG00000037509;-0.7455543
22637;ENSMUSG00000026117;-1.1858927
72097;ENSMUSG00000026090;-0.64899576
98388;ENSMUSG00000026080;1.2663361
18143;ENSMUSG00000026077;-0.81928074
263764;ENSMUSG00000050967;0.8614427
226999;ENSMUSG00000026062;-1.5370606
381339;ENSMUSG00000079588;-0.7724501
93690;ENSMUSG00000041907;-0.80002534
53945;ENSMUSG00000025993;0.61674595
20849;ENSMUSG00000062939;-0.7124149
67080;ENSMUSG00000043629;-0.94883627
17700;ENSMUSG00000026100;-1.1484461
212712;ENSMUSG00000038331;0.6083721
14369;ENSMUSG00000041075;0.8636652
12487;ENSMUSG00000026012;-0.7320099
14367;ENSMUSG00000045005;1.0178969
227231;ENSMUSG00000025991;-1.2553589
16008;ENSMUSG00000039323;-0.75836974
435626;ENSMUSG00000061815;-0.86985826
241113;ENSMUSG00000006542;-0.8105491
22420;ENSMUSG00000033227;-0.6017961
74104;ENSMUSG00000026198;0.9115782
22145;ENSMUSG00000026202;0.75862086
57814;ENSMUSG00000047330;-0.7034893
12828;ENSMUSG00000079465;-0.7712561
77629;ENSMUSG00000026163;0.70608586
98496;ENSMUSG00000045658;-0.6490874
71781;ENSMUSG00000026220;-1.5902914
20684;ENSMUSG00000026222;-1.1745658
227326;ENSMUSG00000049608;-1.2679423
11449;ENSMUSG00000026253;-2.444428
98363;ENSMUSG00000026255;-1.0894986
53972;ENSMUSG00000026259;0.8256583
394432;ENSMUSG00000054545;-0.97613686
171531;ENSMUSG00000026303;-0.6098159
65247;ENSMUSG00000026311;0.5935961
64095;ENSMUSG00000026271;-0.81761694
208777;ENSMUSG00000047793;-0.7605909
18484;ENSMUSG00000026335;-0.67095184
241175;ENSMUSG00000067028;0.9846922
71869;ENSMUSG00000059956;-1.0121626
68428;ENSMUSG00000026389;0.82703876
266645;ENSMUSG00000026348;1.2405142
226418;ENSMUSG00000046404;0.6495883
212439;ENSMUSG00000042510;0.7665183
64435;ENSMUSG00000026415;-0.5925386
69169;ENSMUSG00000042474;-0.87878525
56489;ENSMUSG00000042349;-0.5908123
21367;ENSMUSG00000053024;0.68522644
269120;ENSMUSG00000010311;-0.8297559
116847;ENSMUSG00000041577;-0.65378034
53311;ENSMUSG00000042451;1.0339392
17928;ENSMUSG00000026459;1.6274043
20980;ENSMUSG00000026452;0.83481264
329252;ENSMUSG00000042793;1.4860218
93689;ENSMUSG00000048096;0.87289906
381293;ENSMUSG00000041498;0.64130336
