Gene ID;FC ([hypo] vs [co]);Log FC ([hypo] vs [co]);FC (abs) ([hypo] vs [co]);Regulation ([hypo] vs [co]);[co](raw);[hypo](raw);[co](normalized);[hypo](normalized);Gene Symbol;Aliases;Entrez ID;Ensembl ID;GO Accession;Gene Type
58175;-1.6032714;-0.68101865;1.6032714;down;20.254114;9.450847;0.15495872;-0.5260599;Rgs20;2900073E09Rik|MGC151302|MGC151306|Rgsz1;58175;ENSMUSG00000002459;GO:0004871|GO:0005096|GO:0005634|GO:0005737|GO:0005794|GO:0005886|GO:0007186|GO:0009968|GO:0016020|GO:0043547;protein-coding
170755;1.5806615;0.6605285;1.5806615;up;2541.4875;2892.2083;-0.09286531;0.5676632;Sgk3;2510015P22Rik|A330005P07Rik|Cisk|fy|fz;170755;ENSMUSG00000025915;GO:0000166|GO:0004672|GO:0004674|GO:0005524|GO:0005768|GO:0006468|GO:0006916|GO:0007154|GO:0016023|GO:0016301|GO:0016310|GO:0016740|GO:0016772|GO:0031410|GO:0035091;protein-coding
14859;-1.5379124;-0.62097335;1.5379124;down;32.893333;16.186666;0.14141338;-0.47956;Gsta3;Gst2-3;14859;ENSMUSG00000025934;GO:0004364|GO:0005737|GO:0008152|GO:0016740;protein-coding
170771;-1.6905283;-0.7574742;1.6905283;down;20.44;9.893333;0.1908888;-0.56658536;Khdrbs2;6330586C16Rik|Slim1|Slm1;170771;ENSMUSG00000026058;GO:0003723|GO:0005070|GO:0005634|GO:0006351|GO:0006355|GO:0008143|GO:0008266|GO:0009967|GO:0017124|GO:0042169|GO:0046982;protein-coding
13518;1.5626113;0.64395905;1.5626113;up;9417.53;11292.234;-0.18074386;0.4632152;Dst;2310001O04Rik|A830042E19Rik|AW554249|BP230|BPAG1-n|Bpag|Bpag1|Macf2|ah|athetoid|dt|mKIAA0728|nmf203|nmf339;13518;ENSMUSG00000026131;GO:0000226|GO:0001725|GO:0003779|GO:0005178|GO:0005509|GO:0005515|GO:0005634|GO:0005635|GO:0005737|GO:0005789|GO:0005856|GO:0005874|GO:0005925|GO:0007010|GO:0007050|GO:0007155|GO:0007409|GO:0008017|GO:0008022|GO:0008090|GO:0009611|GO:0009898|GO:0014704|GO:0015629|GO:0015630|GO:0016020|GO:0016023|GO:0030011|GO:0030018|GO:0030056|GO:0031110|GO:0031122|GO:0031252|GO:0031581|GO:0031673|GO:0033267|GO:0035371|GO:0042383|GO:0042803|GO:0045111|GO:0046907|GO:0048471|GO:0048870|GO:0051010|GO:0060053|GO:0097038;protein-coding
12627;4.748204;2.247382;4.748204;up;26.566666;87.68667;-1.3649534;0.88242847;Cfc1;AV265756|cryptic;12627;ENSMUSG00000026124;GO:0001889|GO:0001947|GO:0003007|GO:0005576|GO:0005886|GO:0007275|GO:0007368|GO:0007369|GO:0007492|GO:0009791|GO:0009952|GO:0016020|GO:0030509|GO:0031225|GO:0048536|GO:0048546|GO:0048856|GO:0060070|GO:0060413|GO:0060460|GO:0060541;protein-coding
226970;-1.6766183;-0.7455543;1.6766183;down;861.1533;372.71335;0.28073502;-0.46481928;Arhgef4;9330140K16Rik|Asef|ENSMUSG00000070955;226970;ENSMUSG00000037509;GO:0005085|GO:0005089|GO:0005622|GO:0005737|GO:0005829|GO:0006915|GO:0008624|GO:0019904|GO:0030032|GO:0030676|GO:0035023|GO:0035556|GO:0046847|GO:0050790;protein-coding
22637;-2.2750413;-1.1858927;2.2750413;down;39.313335;13;0.27999654;-0.9058961;Zap70;70kDa|AI327364|Srk|TZK|ZAP-70|mrtle|mur;22637;ENSMUSG00000026117;GO:0001784|GO:0004672|GO:0004713|GO:0005524|GO:0005829|GO:0006468|GO:0006955|GO:0018108|GO:0035556|GO:0042101|GO:0043366|GO:0045059|GO:0045060|GO:0045061|GO:0045582|GO:0046638|GO:0046641|GO:0046777|GO:0050850|GO:0050852;protein-coding
72097;-1.5680763;-0.64899576;1.5680763;down;847.6862;386.18674;0.33669186;-0.31230387;2010300C02Rik;;72097;ENSMUSG00000026090;GO:0003674|GO:0005575|GO:0008150;protein-coding
98388;2.4054987;1.2663361;2.4054987;up;1169.5067;1957.02;-0.21168582;1.0546503;Chst10;AI507003|AU041319|Hnk-1st|ST;98388;ENSMUSG00000026080;GO:0005575|GO:0005794|GO:0005975|GO:0007612|GO:0007616|GO:0008146|GO:0008152|GO:0016020|GO:0016021|GO:0016051|GO:0016232|GO:0016740;protein-coding
