chr_n;pos_ini;pos_end;n_genes;n_su;n_su_lista;n_su_pssm
chr1;713864;714223;53;0;0;0
chr1;1560471;1560831;70;2;2;0
chr1;1708523;1708868;70;2;1;1
chr1;2129132;2129703;59;0;0;0
chr1;3208489;3209317;25;2;1;1
chr1;3244658;3245117;24;0;0;0
chr1;3264960;3265397;23;1;0;1
chr1;3265639;3266173;23;1;1;0
chr1;3816990;3817440;14;2;0;2
chr1;6042898;6043307;22;1;0;1
chr1;6059897;6060283;22;0;0;0
chr1;6112587;6112999;22;1;0;1
chr1;6849042;6849477;24;1;0;1
chr1;7253381;7253768;24;2;2;0
chr1;7353193;7353551;19;0;0;0
chr1;7429954;7430376;21;1;0;1
chr1;7577911;7578375;17;1;1;0
chr1;8484798;8485060;16;2;1;1
chr1;8586044;8586466;16;2;1;1
chr1;8766874;8767567;20;2;1;1
chr1;9329740;9330566;20;4;3;1
chr1;9713336;9713929;26;0;0;0
chr1;9960179;9960931;24;5;4;1
chr1;9982167;9982916;24;5;5;0
chr1;10089478;10089783;25;1;0;1
chr1;10215189;10215693;26;5;4;1
chr1;10880425;10881032;32;1;0;1
chr1;11217407;11218067;34;2;2;0
chr1;11236494;11236669;35;1;1;0
chr1;11238020;11238807;35;2;1;1
chr1;11322548;11322994;35;1;1;0
chr1;11435649;11436117;35;1;1;0
chr1;11447384;11447930;34;2;2;0
chr1;11623547;11624008;29;1;1;0
chr1;11850840;11851195;33;2;1;1
chr1;11907794;11908342;35;5;2;3
chr1;11942823;11943584;37;4;2;2
chr1;11967991;11968713;38;2;2;0
chr1;11969662;11970291;38;1;0;1
chr1;12074809;12075292;41;3;3;0
chr1;12402515;12402963;38;4;4;0
chr1;12465482;12465932;40;2;2;0
chr1;12532829;12533491;43;0;0;0
chr1;12664323;12664704;43;1;0;1
chr1;13813748;13814428;29;2;0;2
chr1;13861718;13862258;26;2;2;0
chr1;13862945;13863691;26;5;4;1
chr1;14157111;14157737;18;3;3;0
chr1;14944175;14944752;14;1;0;1
chr1;15129088;15129585;18;0;0;0
chr1;15477955;15478326;25;1;0;1
chr1;15815921;15816414;32;2;1;1
chr1;15818948;15819711;32;2;0;2
chr1;16302305;16302700;38;1;1;0
chr1;16359230;16359718;40;2;1;1
chr1;16592882;16593531;40;2;2;0
chr1;16693221;16693888;42;4;2;2
chr1;16840015;16840964;38;2;2;0
chr1;16992952;16994028;35;5;4;1
chr1;17029644;17030810;34;7;3;4
chr1;17039620;17040186;34;3;3;0
chr1;17066301;17067553;33;5;4;1
chr1;17230994;17232421;31;5;5;0
chr1;18260454;18261055;19;4;1;3
chr1;18982062;18982533;19;1;0;1
chr1;19051777;19052143;20;2;2;0
chr1;19383593;19384100;24;1;0;1
chr1;19775431;19776010;28;2;2;0
chr1;19805779;19806225;28;0;0;0
chr1;20076937;20077470;35;3;2;1
chr1;20078463;20079226;35;3;2;1
chr1;20097037;20097440;35;1;1;0
chr1;20208643;20208928;35;0;0;0
chr1;22726921;22727599;25;4;1;3
chr1;22800086;22800564;26;1;1;0
chr1;22902043;22902284;27;2;1;1
chr1;22906125;22906750;26;1;1;0
chr1;23038299;23038875;27;4;3;1
chr1;23076841;23077236;28;0;0;0
chr1;23154040;23154569;30;2;2;0
chr1;23669787;23670171;33;1;1;0
chr1;23744014;23744593;35;1;1;0
chr1;24641686;24642116;32;2;2;0
chr1;25020639;25021433;29;2;2;0
chr1;25649461;25649882;37;2;2;0
chr1;25694627;25695106;37;0;0;0
chr1;25716223;25716591;37;2;1;1
chr1;26021450;26022144;36;1;1;0
chr1;26026063;26026464;37;1;1;0
chr1;26054317;26055236;37;1;1;0
chr1;26111004;26111599;37;3;2;1
chr1;26144415;26144996;38;4;3;1
chr1;26317324;26317676;43;0;0;0
chr1;26420478;26421227;45;1;0;1
chr1;27019418;27019774;50;1;1;0
chr1;27618421;27619098;46;2;0;2
chr1;27851727;27852594;42;3;3;0
chr1;27853836;27854252;42;3;2;1
chr1;28143728;28144232;45;0;0;0
chr1;28320574;28320987;39;3;2;1
chr1;28559361;28559864;39;2;2;0
chr1;28585436;28585934;40;0;0;0
chr1;28939622;28940073;31;3;2;1
chr1;28974906;28975496;30;4;3;1
chr1;29064292;29064730;29;1;1;0
chr1;29370035;29370774;21;3;3;0
chr1;29483048;29484056;20;2;2;0
chr1;29532671;29533166;17;3;2;1
chr1;30337907;30338451;7;5;4;1
chr1;30561677;30562056;5;0;0;0
chr1;30601535;30602276;5;6;5;1
chr1;31282124;31282870;16;2;2;0
chr1;31618580;31619102;21;1;0;1
chr1;31650163;31650491;22;1;0;1
chr1;31747590;31748261;29;3;3;0
chr1;32214047;32214373;40;3;3;0
chr1;32217370;32217829;40;4;2;2
chr1;32394217;32394718;43;2;1;1
chr1;32527893;32528309;46;2;1;1
chr1;32635914;32636139;47;0;0;0
chr1;33116009;33116259;43;1;0;1
chr1;33224354;33224923;42;3;1;2
chr1;33271884;33272331;41;3;0;3
chr1;33272482;33272987;41;1;1;0
chr1;34677095;34677597;18;0;0;0
chr1;35128443;35129033;19;1;0;1
chr1;35734036;35734350;27;1;1;0
chr1;36084834;36085298;35;1;1;0
chr1;36705738;36706341;25;0;0;0
chr1;36708805;36709274;25;1;0;1
chr1;36771383;36771765;25;5;2;3
chr1;36866765;36867209;25;3;2;1
chr1;37276563;37276881;31;2;2;0
chr1;38455560;38455890;24;1;1;0
chr1;39679419;39680268;22;1;1;0
chr1;39857302;39857803;26;1;1;0
chr1;40034746;40035392;30;3;3;0
chr1;40036622;40037244;30;5;2;3
chr1;40039690;40040440;30;6;4;2
chr1;40167398;40167992;32;4;1;3
chr1;40311119;40311531;33;0;0;0
chr1;40436820;40437273;30;1;1;0
chr1;40943230;40943643;31;0;0;0
chr1;41051042;41051677;30;0;0;0
chr1;41175082;41175714;27;3;2;1
chr1;41329126;41329615;24;2;2;0
chr1;41329625;41330171;24;2;2;0
chr1;41616510;41617168;19;0;0;0
chr1;41617501;41617993;19;4;4;0
chr1;41835062;41835320;18;0;0;0
chr1;41837496;41837720;18;2;0;2
chr1;41860966;41861208;19;1;0;1
chr1;41969650;41970190;19;5;4;1
chr1;41999034;41999337;18;1;0;1
chr1;42608943;42609322;20;1;1;0
chr1;44003951;44004581;36;2;0;2
chr1;44007408;44007826;36;3;1;2
chr1;44208878;44209280;35;1;1;0
chr1;44231965;44232583;35;3;3;0
chr1;44327651;44328116;37;1;0;1
chr1;44870557;44871000;33;0;0;0
chr1;45267805;45268264;39;1;0;1
chr1;46939410;46940086;38;6;4;2
chr1;47233315;47233947;30;4;3;1
chr1;47956831;47957332;23;1;0;1
chr1;48017516;48018131;22;3;1;2
chr1;48022803;48023230;22;2;1;1
chr1;48287258;48287720;17;2;0;2
chr1;48340572;48341143;17;1;1;0
chr1;48341693;48342448;17;2;1;1
chr1;48446381;48446720;16;0;0;0
chr1;48457350;48457944;16;1;1;0
chr1;48505128;48505798;16;3;0;3
chr1;48526757;48527151;15;1;0;1
chr1;49142470;49143047;7;3;2;1
chr1;51750082;51750574;14;0;0;0
chr1;51953337;51953725;17;1;1;0
chr1;52771353;52771790;26;1;0;1
chr1;53476807;53477477;29;1;1;0
chr1;53750228;53750732;36;1;0;1
chr1;53774106;53774768;36;2;2;0
chr1;53832812;53833462;34;2;2;0
chr1;53978036;53978719;32;2;2;0
chr1;54014879;54015471;33;4;3;1
chr1;54547221;54547687;37;0;0;0
chr1;54711588;54712509;32;6;3;3
chr1;54730118;54730704;32;2;1;1
chr1;54742321;54742709;32;1;0;1
chr1;54771791;54772215;32;2;2;0
chr1;54930904;54931553;31;2;2;0
chr1;56155468;56155912;13;1;1;0
chr1;56558963;56559294;7;1;1;0
chr1;56633839;56634309;7;3;2;1
chr1;56782051;56782625;6;8;4;4
chr1;56986854;56987338;6;1;0;1
chr1;57423992;57424409;6;2;1;1
chr1;57795622;57796043;6;2;2;0
chr1;57828000;57828612;6;1;1;0
chr1;58176966;58177408;8;3;2;1
chr1;58187838;58188595;7;3;2;1
chr1;58887213;58887624;6;5;2;3
chr1;59050321;59050764;6;2;2;0
chr1;59251272;59251712;6;0;0;0
chr1;59543496;59544082;9;3;2;1
chr1;59561975;59562634;9;1;1;0
chr1;59753626;59754142;9;3;3;0
chr1;60209503;60209876;5;1;1;0
chr1;61635624;61636082;3;1;1;0
chr1;61783933;61784275;5;2;2;0
chr1;61803211;61803633;5;1;1;0
chr1;61886602;61887160;5;2;1;1
chr1;62283938;62284292;10;1;1;0
chr1;63621342;63621807;15;3;3;0
chr1;64109667;64110118;11;1;1;0
chr1;64261035;64261762;11;2;2;0
chr1;64322962;64323685;12;2;2;0
chr1;64379129;64379585;11;1;1;0
chr1;64651782;64652252;12;1;1;0
chr1;64694921;64695396;12;5;3;2
chr1;64985557;64986166;13;1;1;0
chr1;65038057;65038739;12;1;1;0
chr1;65063546;65064216;10;2;2;0
chr1;65081623;65082397;10;7;5;2
chr1;66739356;66739920;13;4;4;0
chr1;66915891;66916280;13;1;1;0
chr1;66991667;66992247;13;1;1;0
chr1;67467826;67468188;14;4;4;0
chr1;67631810;67632460;16;6;4;2
chr1;67802347;67802879;16;3;2;1
chr1;67858687;67859260;15;1;0;1
chr1;67871043;67871594;15;3;3;0
chr1;68204009;68204615;16;2;1;1
chr1;68277880;68278554;13;2;0;2
chr1;68417501;68418176;12;2;2;0
chr1;69242925;69243447;6;3;3;0
chr1;69945455;69945868;7;3;1;2
chr1;70671318;70671800;8;1;1;0
chr1;71472941;71473322;9;1;1;0
chr1;71484856;71485480;9;4;3;1
chr1;73766062;73766998;4;4;4;0
chr1;74469903;74470636;8;0;0;0
chr1;74858565;74858941;10;2;2;0
chr1;74888061;74888504;10;5;3;2
chr1;76457182;76457600;8;1;0;1
chr1;76461383;76461719;8;0;0;0
chr1;78515097;78515443;14;3;2;1
chr1;78547955;78548381;13;1;1;0
chr1;79071898;79072319;11;0;0;0
chr1;80117990;80118701;2;1;0;1
chr1;80168125;80168580;1;1;0;1
chr1;80243192;80243596;1;0;0;0
chr1;80269130;80269499;1;2;2;0
chr1;81703136;81703496;1;1;0;1
chr1;81782669;81783289;1;3;2;1
chr1;81796070;81796550;1;1;1;0
chr1;81853945;81854493;1;3;2;1
chr1;82542537;82542861;1;1;0;1
chr1;83483354;83483803;1;2;2;0
chr1;83568342;83568721;2;0;0;0
chr1;83585489;83586087;2;3;3;0
chr1;84944752;84945205;17;1;1;0
chr1;85083133;85083514;18;0;0;0
chr1;85690334;85691305;19;2;2;0
chr1;85937166;85937689;19;4;4;0
chr1;88420303;88421276;6;6;3;3
chr1;88937705;88938615;11;1;1;0
chr1;88956265;88956931;11;0;0;0
chr1;89074750;89075241;12;1;1;0
chr1;89487236;89487750;16;3;1;2
chr1;89529715;89530217;16;3;1;2
chr1;89969297;89969802;16;4;3;1
chr1;90394052;90394475;16;2;1;1
chr1;92062072;92062490;14;3;0;3
chr1;92066835;92067941;14;3;2;1
chr1;92173086;92173569;14;1;1;0
chr1;93436469;93436906;19;0;0;0
chr1;93544646;93545063;18;4;2;2
chr1;93939716;93940217;15;1;1;0
chr1;94050688;94051268;15;1;1;0
chr1;94180957;94181565;15;3;1;2
chr1;94217489;94218032;15;4;3;1
chr1;95123792;95124397;13;1;1;0
chr1;95267404;95267942;13;2;2;0
chr1;95526944;95527536;11;3;2;1
chr1;95538065;95538466;11;0;0;0
chr1;95583486;95583950;11;3;3;0
chr1;95645023;95645669;10;1;0;1
chr1;95850103;95850641;9;2;0;2
chr1;95860848;95861320;9;0;0;0
chr1;96354676;96355161;8;2;2;0
chr1;96989585;96990128;3;4;3;1
chr1;98100484;98100782;2;1;0;1
chr1;100249698;100250065;15;1;1;0
chr1;100715068;100715584;19;3;0;3
chr1;101223399;101223938;17;0;0;0
chr1;101261027;101261626;16;1;1;0
chr1;101448344;101448898;16;2;2;0
chr1;101631408;101631995;12;4;1;3
chr1;101669474;101670181;11;1;0;1
chr1;101730240;101730760;10;2;1;1
chr1;101772875;101773505;9;1;1;0
chr1;102153808;102154219;7;0;0;0
chr1;102718225;102718895;2;3;2;1
chr1;104773557;104773991;6;2;1;1
chr1;104781663;104782065;6;2;1;1
chr1;107492576;107493197;3;2;1;1
chr1;107525142;107525531;3;2;2;0
chr1;108009906;108010354;6;5;4;1
chr1;108405803;108406372;12;2;2;0
chr1;108426279;108426577;13;1;0;1
chr1;108559146;108559777;15;0;0;0
chr1;109740004;109740768;42;5;3;2
chr1;109849970;109850574;41;4;3;1
chr1;109935428;109936130;43;0;0;0
chr1;110330325;110330783;43;2;2;0
chr1;110432589;110433067;43;2;0;2
chr1;110433207;110433243;43;0;0;0
chr1;110679473;110679917;38;0;0;0
chr1;112160592;112161103;22;3;2;1
chr1;112519223;112519825;25;2;1;1
chr1;112846818;112847376;22;4;2;2
chr1;112850168;112850730;22;5;5;0
chr1;112859585;112860149;22;1;1;0
chr1;112926473;112926819;20;2;2;0
chr1;113614982;113615390;20;0;0;0
chr1;113932577;113933116;21;2;0;2
chr1;114447700;114448131;20;0;0;0
chr1;114619524;114619816;21;2;2;0
chr1;114930952;114931453;21;0;0;0
chr1;115616334;115616758;16;1;0;1
chr1;115865893;115866192;16;0;0;0
chr1;115991369;115991873;18;3;2;1
chr1;116191519;116191885;18;1;1;0
chr1;116877754;116878331;17;0;0;0
chr1;116940317;116940897;17;2;2;0
chr1;116947586;116948405;17;5;4;1
chr1;116972406;116973029;17;2;1;1
chr1;117006091;117006860;17;2;1;1
chr1;117026105;117026492;17;1;1;0
chr1;117046515;117047038;17;2;2;0
chr1;117190667;117191360;18;2;0;2
chr1;117298525;117299162;17;4;2;2
chr1;117300821;117301470;17;4;2;2
chr1;117654532;117655115;17;2;2;0
chr1;117744735;117745291;16;3;3;0
chr1;117774663;117775214;16;2;2;0
chr1;117775976;117776231;16;0;0;0
chr1;117842731;117843279;16;1;0;1
chr1;117887553;117888222;16;2;2;0
chr1;118148088;118148292;13;0;0;0
chr1;118173178;118173915;13;2;1;1
chr1;118840940;118841536;7;0;0;0
chr1;118842434;118842849;7;1;0;1
chr1;118847649;118848149;7;3;2;1
chr1;118939524;118940231;8;1;1;0
chr1;119046769;119047394;9;1;1;0
chr1;119202133;119202869;10;3;3;0
chr1;120383253;120383713;13;4;4;0
chr1;120810302;120811011;11;3;3;0
chr1;120870638;120870840;11;0;0;0
chr1;120870845;120871155;11;0;0;0
chr1;120882579;120882985;11;1;1;0
chr1;143880902;143881338;7;0;0;0
chr1;143941102;143941701;7;3;3;0
chr1;143942225;143942784;7;1;0;1
chr1;143943302;143943765;7;0;0;0
chr1;143956206;143957024;7;1;1;0
chr1;144011978;144012608;8;2;0;2
chr1;144036551;144037315;8;3;3;0
chr1;144603500;144604050;23;1;0;1
chr1;144993855;144996396;26;4;3;1
chr1;145159064;145159621;27;2;1;1
chr1;145453982;145454612;26;3;2;1
chr1;145502142;145502661;26;2;1;1
chr1;146383487;146383860;26;1;0;1
chr1;146711725;146712143;16;1;0;1
chr1;147012470;147013069;14;0;0;0
chr1;147206533;147206913;14;1;0;1
chr1;147220865;147221589;14;4;3;1
chr1;147283392;147283915;15;3;1;2
chr1;147610644;147611061;15;1;0;1
chr1;147806348;147806880;13;2;2;0
chr1;147994079;147994501;13;3;3;0
chr1;148356923;148357256;10;1;0;1
chr1;149223491;149224272;27;0;0;0
chr1;149278763;149279458;32;0;0;0
chr1;149434295;149434707;33;0;0;0
chr1;149664380;149665183;40;0;0;0
chr1;150230099;150230498;61;1;0;1
chr1;150507529;150507870;67;0;0;0
chr1;150985960;150986590;62;1;1;0
chr1;151253576;151254109;61;1;0;1
chr1;151975315;151975854;71;1;1;0
chr1;153394933;153395319;76;0;0;0
chr1;153892989;153893506;60;0;0;0
chr1;153940029;153940403;64;2;0;2
chr1;154598986;154599587;65;1;0;1
chr1;154885211;154885604;63;2;2;0
chr1;154909855;154910356;62;2;0;2
chr1;155214376;155214805;65;0;0;0
chr1;155903845;155904396;80;3;2;1
chr1;156093540;156093950;69;2;1;1
chr1;156633866;156634625;53;4;3;1
chr1;156710739;156711092;52;1;1;0
chr1;156736861;156737290;52;1;1;0
chr1;157121595;157122034;43;0;0;0
chr1;157717128;157717760;33;4;3;1
chr1;158618168;158618478;35;2;1;1
chr1;159583717;159584494;47;4;3;1
chr1;159956944;159957656;45;0;0;0
chr1;160177374;160177872;58;2;1;1
chr1;160179336;160179893;58;1;1;0
chr1;160261093;160261545;64;0;0;0
chr1;160428864;160429276;64;3;2;1
chr1;160918979;160919564;60;0;0;0
chr1;161195210;161195898;53;2;1;1
chr1;162033645;162034168;42;1;0;1
chr1;162162905;162163476;33;5;3;2
chr1;162248778;162249205;27;1;1;0
chr1;162255188;162255847;27;4;3;1
chr1;162319856;162320201;25;3;2;1
chr1;163172886;163173372;13;3;2;1
chr1;163795455;163796182;5;3;2;1
chr1;164034447;164034864;4;2;2;0
